actor,character,first_appearance,company,purchase_date,shares,Date,Open,High,Low,Close,Volume,OpenInt,Unnamed: 0,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
Sean Bean,"Eddard ""Ned"" Stark",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Addy,Robert Baratheon,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolaj Coster-Waldau,Jaime Lannister,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Fairley,Catelyn Stark,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lena Headey,Cersei Lannister,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emilia Clarke,Daenerys Targaryen,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iain Glen,Jorah Mormont,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Lloyd,Viserys Targaryen,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kit Harington,Jon Snow,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophie Turner,Sansa Stark,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maisie Williams,Arya Stark,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Madden,Robb Stark,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Allen,Theon Greyjoy,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Hempstead Wright,Bran Stark,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Gleeson,Joffrey Baratheon,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rory McCann,"Sandor ""The Hound"" Clegane",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Dinklage,Tyrion Lannister,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Momoa,Khal Drogo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aidan Gillen,"Petyr ""Littlefinger"" Baelish",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Cunningham,Davos Seaworth,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bradley,Samwell Tarly,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Dillane,Stannis Baratheon,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carice van Houten,Melisandre,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Cosmo,Jeor Mormont,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Flynn,Bronn,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conleth Hill,Varys,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sibel Kekilli,Shae,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalie Dormer,Margaery Tyrell,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Dance,Tywin Lannister,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oona Chaplin,Talisa Maegyr,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Leslie,Ygritte,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Dempsie,Gendry,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristofer Hivju,Tormund Giantsbane,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwendoline Christie,Brienne of Tarth,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwan Rheon,Ramsay Bolton,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Murray,Gilly,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michiel Huisman[c],Daario Naharis,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathalie Emmanuel,Missandei,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indira Varma,Ellaria Sand,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean-Charles Chapman[d],Tommen Baratheon,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Wlaschiha[e],Jaqen H'ghar,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael McElhatton,Roose Bolton,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Pryce,The High Sparrow,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Anderson,Grey Worm,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Skilith,10/23/2019,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gabtype,6/12/2020,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rooxo,3/6/2020,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zoonoodle,12/4/2018,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Edgeclub,4/17/2019,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Katz,4/8/2020,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Photobug,4/12/2020,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cogibox,9/29/2020,409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mycat,1/29/2020,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Layo,7/26/2019,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Feedmix,9/27/2020,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Edgepulse,6/24/2019,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Youspan,11/23/2018,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wikivu,9/4/2020,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tagchat,8/24/2019,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rooxo,6/8/2020,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Realblab,11/1/2018,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Meeveo,3/25/2019,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mudo,12/31/2019,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Viva,12/1/2019,243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Skinix,7/8/2020,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Vinte,10/20/2020,364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tazzy,11/27/2019,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Einti,6/19/2019,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gigaclub,11/14/2018,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twimm,6/5/2019,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Meevee,1/23/2019,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DabZ,7/5/2019,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Kayveo,3/12/2020,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fanoodle,11/6/2019,442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
